u,v,label,lw,color,opacity,bend,R,G,B,Direct
Pyotr,Stepan,Friends,0.5,blue,0.9,30,0,120,255,false
Pyotr,Varvara,Love,0.5,red,0.9,30,0,120,255,false
Nicolai,Liza,Love,0.5,red,0.9,30,0,120,255,false
Shatov,Alexei,Friends,0.5,blue,0.9,30,0,120,255,false
Shatov,Darya,Family,0.5,green,0.9,30,0,120,255,false
Varvara,Nicolai,Family,0.5,green,0.9,30,0,120,255,false
Liza,Praskovya,Family,0.5,green,0.9,30,0,120,255,false
Mavriky,Praskovya,Friends,0.5,blue,0.9,30,0,120,255,false
Marya,Shatov,Friends,0.5,blue,0.9,30,0,120,255,false
